26269,44759,0
13264,50141,0
41531,25867,1
19264,13931,0
8939,25420,0
1444,11332,1
17069,31679,0
15024,43698,1
49830,48408,1
26135,29077,0
48454,48303,1
10930,52172,0
52863,30825,1
25292,51828,0
23829,41768,0
32773,27577,1
37397,38102,0
52511,7453,1
17161,48102,0
53201,17687,1
3147,13217,0
16654,33870,1
39162,40155,0
51502,30681,0
3730,50089,1
35439,28513,0
17306,19885,0
6654,28259,0
16245,6646,1
12562,24504,1
18295,34023,1
34023,30271,1
2645,38461,1
37717,40242,0
22942,31884,0
6690,809,1
25259,27000,0
207,49603,0
12861,53372,0
7532,36276,0
23371,42808,0
34023,16322,1
29684,22560,0
24371,40540,0
51814,49392,0
12000,31711,0
20510,53131,1
3752,52335,0
53205,19797,1
13062,25002,1
28478,10727,1
48983,40365,0
17523,14490,1
17676,12969,0
13503,433,0
16838,43392,0
15669,781,0
12058,24191,0
15554,36101,0
2188,15253,0
15398,20001,0
19356,12837,0
24198,46699,0
17569,14888,0
11917,2548,1
24601,7457,0
30413,18835,1
22510,1015,0
27881,50820,1
3639,15871,1
36994,26069,0
28254,51661,1
46070,40340,1
48584,7862,0
10723,51290,1
18810,18201,1
11358,28478,1
43476,33302,0
5979,30537,0
32317,52139,1
1444,53918,1
2183,19118,0
47874,28102,1
49811,26635,0
53017,30825,1
45958,383,1
14197,18416,0
7532,7024,1
40846,51601,0
31000,36501,0
32855,26824,0
26623,35990,0
53570,43965,1
49692,28478,1
6154,31290,1
4961,52003,1
1424,32524,0
24931,16844,1
12316,47127,0
3666,23199,0
20027,38186,1
14014,16903,1
12134,39372,0
19261,21338,0
50908,22017,0
42985,27351,1
53507,10751,1
11003,1546,1
32551,42149,1
35015,33527,0
34023,18571,1
28728,53414,0
18295,19179,1
46799,15762,0
646,37715,0
5460,24430,0
37816,9580,1
2396,5762,0
52455,12537,1
50096,6080,0
12434,1986,0
16311,20991,0
30413,21981,0
42908,15257,1
30489,16844,1
43778,11246,0
7707,466,0
34436,44098,1
9918,21680,1
34109,33398,0
1542,51633,0
41103,15543,1
46288,42964,0
35010,14957,1
28391,8896,0
14490,22885,1
5509,38692,1
16654,610,1
28382,526,0
27951,21243,0
31359,32588,0
28814,39112,0
49629,31570,0
29103,37863,0
39453,32423,0
1047,34004,0
16774,9405,1
52756,6306,0
29602,12111,0
14014,10723,1
24126,1444,0
26793,3622,0
15519,6453,0
20799,25397,0
19034,45739,1
23964,9519,0
40219,14430,0
1145,22368,1
51839,13088,1
40340,37441,1
14628,47574,1
27038,44001,1
4701,37784,0
48239,37795,0
37466,49270,0
21836,16696,0
33681,30844,1
48762,7671,0
50704,9681,1
4789,44094,0
2831,33886,1
14628,29546,1
49830,4736,1
30482,17647,0
5689,52421,0
19259,49892,1
49935,47802,0
20176,27315,1
35508,33,0
29796,19793,1
11228,7500,0
25450,80,1
5460,47446,0
26035,2113,0
51037,28172,0
27693,5814,0
14267,29207,0
11195,9804,1
50559,49801,1
10364,38126,1
40608,33430,1
43470,4541,0
4077,15548,1
29396,20444,0
27413,4020,0
20510,49788,1
7535,12537,0
39017,37215,1
17523,20834,1
16654,18043,1
34023,21194,1
48983,53442,1
49201,23053,1
15573,26375,0
19939,34023,1
53442,29555,1
24529,30544,0
23711,40863,0
11332,31757,0
34023,36443,1
14792,472,1
28478,32649,1
6281,48171,0
47583,32979,0
3799,6606,0
24492,36910,0
16844,18383,1
51277,48180,1
38126,4777,1
40632,53312,0
36126,24568,0
52855,34023,1
33681,40541,1
51177,50154,1
19010,6542,1
3768,53442,1
45958,46424,1
31747,13307,0
44578,29569,0
45942,23176,1
20261,13894,0
5455,52265,0
12508,14014,1
44137,16844,1
20563,4675,0
39477,21503,0
18810,15548,1
12695,23443,0
16386,14267,0
34023,17020,1
4961,11825,1
27445,50820,1
41552,41591,0
34023,28867,1
10723,28553,1
32111,41566,1
26734,50408,0
20482,7553,0
2857,4874,0
53104,28687,0
9349,45512,1
27550,21164,0
35598,16844,1
9758,53442,1
38226,42085,0
38901,47763,0
39043,49611,1
27894,53678,1
38919,26102,1
48715,12857,0
567,27344,1
11003,5599,1
41521,15819,1
41521,38126,1
5719,7617,1
16730,16844,1
29132,46509,1
