epoch,loss,train_auc,train_f1,train_aupr,eval_auc,eval_f1,eval_aupr,test_auc,test_f1,test_aupr
0.0,0.8359441161155701,0.932238115819774,0.8708524333637463,0.9448496504581674,0.9119927573102349,0.8447058554679425,0.9311396371396365,0.9176006034198775,0.8557677500521317,0.9359978409223876
1.0,0.5304839611053467,0.9448650469579523,0.8855820739713379,0.954181822628849,0.9213481439192098,0.8554296592349229,0.9376684176446987,0.9244496764264515,0.8642277128778509,0.9407087003642995
2.0,0.502764880657196,0.954663690465014,0.8973976664890472,0.9614612744415632,0.927398930195244,0.8622494969966149,0.9420353336071264,0.9296213153552157,0.8700100799916373,0.9448416080539012
3.0,0.4741360545158386,0.9643249407209897,0.9074269661151836,0.9683677543047949,0.9322139154538303,0.8690248270726767,0.9456170484840046,0.9346431592930786,0.8756090761470233,0.9487583584746014
4.0,0.4429800808429718,0.9724560802143257,0.9169074863690543,0.9742120977384565,0.9356190576416666,0.8753017948091718,0.9481344979443893,0.9386055759083313,0.8811580390401933,0.9517292632609545
5.0,0.4114631414413452,0.978950738710231,0.9253506871014875,0.9792686743557878,0.9381734829225024,0.8782676423441729,0.950138129080555,0.9415553888715193,0.8844779855693252,0.9540167039539834
6.0,0.384392112493515,0.9833586425991834,0.9335863776707252,0.9829716362101552,0.9398866844592452,0.8819542937231873,0.9513798837643392,0.9432623274992542,0.8861159368977946,0.9553520939756363
7.0,0.36361756920814514,0.9862560615731294,0.9398204013805879,0.985503898487882,0.9407870561341279,0.8822731256039282,0.9519620686611344,0.9440737908651922,0.8879101450481786,0.9559137384402435
8.0,0.34954357147216797,0.9882370244958056,0.9452635355726016,0.9873168048617698,0.9412145828198457,0.8830053646487201,0.9521196464082398,0.9444079437522334,0.8878263727073724,0.9561371850641281
9.0,0.3630659878253937,0.9898224166849,0.9478719613210338,0.9887546583438261,0.9414031649193674,0.8816759132910541,0.9521431270047471,0.9445587821204643,0.8874176154768555,0.9562135058117524
10.0,0.38324108719825745,0.9903779213979816,0.9491179783947568,0.9893006256453017,0.9412223638791187,0.8820768722608082,0.952051606997271,0.9443952753342383,0.8875137420755478,0.9560521762453101
