2	53953	1
2	42265	1
2	9918	1
2	18835	1
2	23210	1
11	33908	1
11	15869	1
11	5605	1
11	16908	1
16	53953	1
16	1885	1
29	16194	1
34	38126	1
34	28478	1
34	34023	1
46	20693	1
46	8243	1
46	53017	1
46	38919	1
46	19786	1
46	17365	1
46	43903	1
46	16844	1
46	36916	1
46	27351	1
51	36243	1
57	38126	1
57	34023	1
57	28478	1
62	1782	1
80	51717	1
80	9871	1
87	5711	1
92	40239	1
92	255	1
92	34013	1
92	30834	1
92	34023	1
101	39502	1
101	13507	1
101	36110	1
101	21746	1
101	9063	1
101	51488	1
101	18927	1
106	38126	1
106	34023	1
106	15104	1
106	28478	1
106	7177	1
109	3745	1
109	41448	1
109	8317	1
109	16844	1
109	35850	1
109	22479	1
109	18429	1
109	50247	1
109	16459	1
116	29208	1
116	47446	1
116	34023	1
116	30748	1
116	32265	1
116	15517	1
116	10651	1
116	28472	1
127	35172	1
127	10651	1
127	9918	1
129	13174	1
134	18256	1
134	18651	1
134	50820	1
134	47574	1
134	4778	1
134	10586	1
134	14628	1
134	19617	1
134	24850	1
134	30462	1
134	52335	1
134	5509	1
134	29610	1
134	30310	1
134	38681	1
134	26644	1
134	25270	1
134	41374	1
134	29546	1
134	16409	1
134	14014	1
134	13061	1
134	15572	1
134	31290	1
134	3974	1
134	32111	1
134	27445	1
134	38692	1
134	11290	1
134	790	1
134	16903	1
134	32739	1
134	26692	1
134	47749	1
134	13088	1
134	52511	1
134	19485	1
134	10751	1
134	7453	1
134	27955	1
134	38423	1
134	34023	1
134	48303	1
134	17523	1
134	20726	1
134	37084	1
134	41566	1
134	31166	1
134	48393	1
134	53953	1
134	11501	1
174	12531	1
175	6085	1
175	28366	1
175	23802	1
175	16485	1
206	16844	1
206	18835	1
215	10269	1
215	450	1
215	13836	1
215	44527	1
215	12909	1
231	28478	1
231	38126	1
231	34023	1
255	12460	1
257	34023	1
257	38126	1
257	28478	1
257	10723	1
261	30825	1
263	34023	1
263	28478	1
263	38126	1
265	34023	1
265	28478	1
265	38126	1
281	18835	1
291	7476	1
302	4153	1
315	18137	1
325	26198	1
325	53017	1
325	17365	1
325	25450	1
325	8243	1
325	11003	1
325	43903	1
325	38919	1
325	48393	1
325	28102	1
325	27351	1
325	36916	1
325	45958	1
325	19031	1
325	9848	1
325	20693	1
325	12242	1
325	18810	1
325	19786	1
325	1444	1
325	11786	1
328	2626	1
331	7683	1
331	716	1
331	33084	1
331	44098	1
331	33595	1
331	8090	1
331	26093	1
331	18978	1
331	38823	1
331	35985	1
331	29485	1
331	30333	1
331	13599	1
331	22828	1
331	42681	1
331	45321	1
331	31356	1
341	45321	1
341	26093	1
358	42509	1
366	16844	1
383	20693	1
383	17365	1
383	36916	1
383	53017	1
383	8243	1
383	19786	1
383	27351	1
383	38919	1
383	43903	1
389	38005	1
392	52511	1
392	15257	1
392	28308	1
392	36988	1
392	33595	1
392	716	1
396	36399	1
429	2548	1
429	11964	1
429	40464	1
429	18954	1
429	39913	1
429	32409	1
429	33980	1
433	51716	1
433	21318	1
433	2188	1
437	34315	1
437	7308	1
463	48223	1
463	49788	1
463	20407	1
466	16844	1
472	26692	1
472	37084	1
472	11155	1
472	30825	1
479	28478	1
479	38126	1
479	34023	1
482	50089	1
482	35764	1
482	18835	1
482	34023	1
515	28478	1
515	38126	1
515	34023	1
526	16844	1
526	38126	1
526	28478	1
526	34023	1
548	34023	1
551	8243	1
551	19786	1
551	43903	1
551	53017	1
551	38919	1
551	36916	1
551	27351	1
551	20693	1
551	14454	1
559	16844	1
563	51537	1
567	27344	1
572	18835	1
576	31383	1
606	41262	1
610	16844	1
610	28697	1
616	45123	1
616	39027	1
616	35426	1
616	5106	1
616	47498	1
621	25138	1
621	29654	1
625	24942	1
625	30931	1
625	24325	1
638	38126	1
638	34023	1
638	28478	1
643	34023	1
643	28478	1
643	38126	1
643	4628	1
643	52654	1
652	43661	1
652	31347	1
652	8705	1
652	35068	1
652	37328	1
652	24574	1
673	49313	1
673	5254	1
673	40629	1
681	11857	1
683	28478	1
683	34023	1
702	13318	1
702	10723	1
702	16844	1
702	24733	1
705	48715	1
710	26135	1
710	21259	1
716	703	1
716	20238	1
716	13599	1
